 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_NEATM D_true model eta etafit
36 1.0 334.40009068533965 37.896583015379576 6046.0 33841.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
37 1.0 21.529288596310682 -26.903322905317715 6023.0 33730.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
38 1.0 25.04282050227583 48.39826456677977 6069.0 33972.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
39 1.0 339.36827246753165 -41.428165214605734 6120.0 34165.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
40 1.0 36.655644396940055 -26.585075183953364 6059.0 33826.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
41 1.0 32.02341156770068 -37.749406060740654 6097.0 33981.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
42 1.0 282.15312712869184 -17.690592055723414 6020.0 33876.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
43 1.0 60.12461691247766 -6.480938253631095 6092.0 34024.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
44 1.0 95.31272401366597 76.5107960623844 6057.0 33799.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
45 1.0 77.37560622811569 84.2748834135069 6068.0 33908.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
46 1.0 53.39353146258525 -66.0652675663952 6071.0 34015.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
47 1.0 288.2638772010712 66.41775352878776 6065.0 33993.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
48 1.0 106.8823155580397 13.745730968432 5985.0 33616.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.482 1 FRM 1.0 0
49 1.0 64.99257816544548 -0.4895222431698727 6113.0 34165.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
50 1.0 291.7797473584518 76.73081563614804 5996.0 33666.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.482 1 FRM 1.0 0
51 1.0 134.1133817036242 46.68933196848539 5884.0 33395.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.48 1 FRM 1.0 0
52 1.0 296.4742346210675 -2.35966690803491 6109.0 34222.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
53 1.0 288.51103026523657 65.43112674679395 6068.0 34012.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
54 1.0 51.442093359655566 78.36900477537074 6037.0 33756.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
